sentid	sentence
0	the Jedi the Force seek
1	fight they do
2	the Force the rain seek
3	the path the darkness teach
4	sleep the Force do
5	the darkness the night teach
6	in the rain in the Force fight the Force do
7	fight we do
8	we the path teach
9	the forest the Force follow
10	fight the Force do
11	the Force the rain seek
12	the forest the Jedi seek
13	they the forest follow
14	the night the forest follow
15	fight the Force do
16	in we fight the rain do
17	the forest in the darkness I teach
18	fight we do
19	fight the forest do
20	sleep the Jedi do
21	the Jedi I follow
22	fight the darkness do
23	fight the Force do
24	the darkness in the rain the rain follow
25	we the Jedi seek
26	in the light in the forest in the Force sleep the Force do
27	sleep you do
28	fight we do
29	sleep the path do
30	in the path sleep the night do
31	the Jedi the Jedi seek
32	the path in the light the Jedi follow
33	fight the darkness do
34	they the Force teach
35	through I fight the Jedi do
36	the Force the darkness teach
37	fight the rain do
38	sleep the night do
39	sleep the Force do
40	the rain the darkness teach
41	sleep the darkness do
42	fight the rain do
43	the Force in the rain the Force follow
44	in we fight you do
45	in the darkness sleep the path do
46	the Force the darkness follow
47	they the Force follow
48	fight the forest do
49	in the path in the forest fight the forest do
50	the Force the forest follow
51	the Force the darkness teach
52	fight the Force do
53	fight the forest do
54	I through the light through the night the path through the rain through the rain seek
55	fight the Jedi do
56	through the darkness fight the Jedi do
57	the rain the forest in the darkness seek
58	the rain in the Force the light follow
59	fight the Jedi in the Jedi do
60	the light through the forest you teach
61	fight I do
62	they the Force follow
63	through the forest fight the Force do
64	sleep the darkness do
65	fight the forest do
66	the darkness the rain follow
67	sleep the darkness do
68	they they seek
69	in we in the forest sleep I do
70	sleep the Force do
71	fight the Force do
72	fight the rain do
73	fight I do
74	I the forest teach
75	the Force you teach
76	fight you do
77	fight I do
78	the Force the light seek
79	the Jedi the darkness seek
80	the Jedi the path teach
81	fight the path through the path do
82	sleep the night do
83	they in the forest you seek
84	the Force the night seek
85	they in the rain the light seek
86	sleep they do
87	the Jedi in the Jedi the path teach
88	the Force the night teach
89	fight the Force do
90	fight the Jedi do
91	fight the path do
92	sleep the rain do
93	fight the darkness do
94	fight the Force do
95	the darkness the night seek
96	sleep the darkness do
97	the forest the path follow
98	sleep the rain do
99	the Jedi the rain teach
100	the light in we the light follow
101	fight the Jedi do
102	the Jedi the rain seek
103	the night the Force seek
104	in the Force fight the Jedi do
105	the darkness the path seek
106	the Jedi in you the Jedi in the Force in the path follow
107	you through the Force they seek
108	we the Force seek
109	the rain through the darkness in the darkness in they in the Force the path in the forest seek
110	fight the Force do
111	sleep the light in you do
112	sleep the Jedi do
113	the Jedi the light seek
114	they the Jedi teach
115	fight the Jedi do
116	the Force the path teach
117	sleep the forest do
118	fight they do
119	the forest through they we follow
120	sleep they do
121	the Force the Force follow
122	sleep the Force do
123	the Jedi in you the Jedi teach
124	fight the Jedi do
125	sleep the Jedi do
126	sleep they in the forest do
127	in the night fight the Force do
128	in we fight the path do
129	the light the Jedi teach
130	fight the Force do
131	sleep you do
132	the darkness the darkness in the darkness seek
133	in the path in the rain sleep the path do
134	sleep the darkness do
135	in the light sleep we do
136	the light we teach
137	in the night fight you do
138	the darkness we seek
139	in the Force sleep the night do
140	fight the Jedi through the light do
141	the darkness in the Force the path follow
142	the forest the rain seek
143	you the forest follow
144	sleep the darkness do
145	the Jedi in the Force the forest in we seek
146	they I teach
147	the light in the light the forest seek
148	the path the forest follow
149	you you follow
150	they you teach
151	the Force in the rain the Force follow
152	sleep we do
153	sleep the Jedi do
154	sleep the darkness do
155	the Force in the night the Force seek
156	the Force the Force follow
157	the Jedi the light seek
158	sleep the light do
159	fight the forest do
160	in we fight the Force do
161	we in we the Jedi teach
162	sleep I do
163	they the Force seek
164	the night in the darkness the Jedi seek
165	sleep the Jedi do
166	the Force the Jedi teach
167	they the rain follow
168	sleep the darkness do
169	sleep the night do
170	fight the Jedi do
171	I through the night I follow
172	fight the night do
173	sleep the Jedi do
174	the Force the light follow
175	I the forest follow
176	the forest through the night the Jedi follow
177	the Force in the Force the night follow
178	the Force the rain follow
179	the Jedi the night seek
180	they in the forest in I the Jedi seek
181	I the Force follow
182	sleep the Force do
183	the Force the Force seek
184	we the Jedi in the Force follow
185	fight the light do
186	sleep the Jedi do
187	the Force the Force seek
188	the forest you seek
189	fight the Jedi do
190	fight the Force in the Jedi through they do
191	the light the rain seek
192	the darkness the light seek
193	sleep they through the night do
194	sleep the forest do
195	the Jedi the Jedi in I seek
196	the night the path follow
197	the Force the Jedi in the Force follow
198	they the night seek
199	sleep the Force do
200	fight we do
201	fight I do
202	the night we in the night seek
203	you the Force follow
204	fight the Jedi do
205	in the Jedi fight the forest do
206	sleep the Jedi do
207	the light the Force teach
208	sleep the Force do
209	the night the night seek
210	fight the night do
211	the Jedi in the Force the Force teach
212	the rain in you the Force in they seek
213	you in the light the light seek
214	the light we seek
215	we they seek
216	the rain the night seek
217	the Jedi the path follow
218	the night the forest seek
219	in the Jedi sleep the darkness do
220	sleep the Jedi do
221	the Force the night seek
222	the night in the Force the path follow
223	the Force the Jedi in the darkness follow
224	I the rain follow
225	the rain the rain seek
226	fight they do
227	fight the darkness do
228	the rain the darkness in I in you seek
229	fight the Force do
230	the forest the forest seek
231	sleep the light do
232	sleep the light do
233	they the Jedi seek
234	sleep the light do
235	in the Force sleep the Jedi do
236	in I fight the Force do
237	the forest you seek
238	sleep the Force do
239	fight the rain do
240	fight I do
241	fight the Force do
242	fight the night do
243	fight the Jedi do
244	the forest the Force seek
245	in the night sleep they in the darkness do
246	the Jedi the Jedi follow
247	fight the night do
248	fight the light do
249	we the Jedi follow
250	the rain the Jedi through the Jedi through the Force follow
251	you the darkness teach
252	the Jedi I seek
253	sleep the Jedi do
254	the darkness the light teach
255	fight they do
256	the darkness the Force seek
257	sleep the rain do
258	through the Force in the light sleep the light do
259	the Jedi the light seek
260	fight the Jedi do
261	they the Force teach
262	the Force in the rain you follow
263	I in they the light seek
264	sleep I do
265	through the Jedi fight the Force through we do
266	the Force in the Force we seek
267	I through the Jedi the night in the Force through the night seek
268	fight the light do
269	the night the night seek
270	the light the path follow
271	sleep the Jedi do
272	sleep the darkness do
273	in the Jedi in the path fight the Jedi through the forest do
274	we through the darkness the forest teach
275	we they teach
276	in the Force in you fight the rain do
277	sleep I do
278	sleep the Force in the path do
279	the Force the light seek
280	the forest they follow
281	the Force in the forest the Force teach
282	sleep the rain do
283	the night the forest seek
284	fight they do
285	we the Jedi follow
286	the path in the forest the night follow
287	the Force the Jedi seek
288	fight the path do
289	I the rain follow
290	the rain the night seek
291	the night the Force teach
292	sleep the forest do
293	sleep the light do
294	sleep you do
295	they the light follow
296	the light in the Force the Force teach
297	the rain in the light the Jedi seek
298	in the rain fight the Jedi do
299	sleep the Force do
300	sleep the forest do
301	the Force the Force in the night teach
302	fight they in the Force in the Jedi in I do
303	I the path follow
304	sleep the night do
305	we in the light the Jedi seek
306	fight the Jedi do
307	the forest the Force teach
308	fight the path in the rain do
309	fight you do
310	sleep the light do
311	the forest the Force follow
312	fight the Force do
313	sleep they do
314	fight the Force do
315	through the path sleep the darkness do
316	the Force the Force in the path teach
317	sleep they do
318	sleep I do
319	the path in we in the Force I follow
320	sleep I do
321	in the forest sleep you do
322	fight you do
323	sleep the rain do
324	sleep the Jedi do
325	the path in the Jedi in the Force in the Jedi in the Force in the Force I teach
326	the Force in the Jedi the darkness seek
327	fight the rain do
328	you the darkness seek
329	the Force the night seek
330	sleep you do
331	you I follow
332	the Jedi the Force teach
333	the path in the forest the Force seek
334	fight the Force do
335	sleep you do
336	sleep the Jedi do
337	the Jedi the light seek
338	the Force you seek
339	through the path sleep we do
340	you the light teach
341	in the rain sleep you do
342	sleep the night do
343	fight the rain in the darkness do
344	fight you do
345	fight the Force do
346	the night the path seek
347	we in you in the rain in the night the Force teach
348	you in you the path seek
349	the rain the Force in the rain seek
350	you we through the Force seek
351	the path the Jedi seek
352	sleep the Jedi do
353	in the darkness in the night sleep the Force do
354	the Force the rain seek
355	the forest in the rain we seek
356	fight the Jedi in the darkness do
357	the Force the Force seek
358	we in the path the forest seek
359	the forest the darkness seek
360	they the forest seek
361	fight the Force do
362	we we follow
363	sleep you do
364	sleep you do
365	fight the Jedi do
366	fight the Force do
367	the path in the light the night in they teach
368	fight the rain do
369	the path we seek
370	in I sleep the Jedi do
371	sleep we do
372	the light the night follow
373	sleep the light do
374	the path the darkness seek
375	sleep the darkness do
376	sleep the path do
377	fight the Jedi do
378	the Jedi the Jedi teach
379	I through the Force I seek
380	the light they seek
381	fight the darkness do
382	the Jedi in the Force through the path the forest teach
383	the Jedi the night seek
384	sleep the light do
385	we in the path in I the Force through the rain seek
386	the Jedi in the forest through the Jedi the Force teach
387	sleep the forest do
388	fight the light do
389	the night we follow
390	the darkness they seek
391	the path the darkness seek
392	in you fight the path do
393	fight the Jedi in we do
394	fight the path do
395	the night the Jedi follow
396	we the darkness seek
397	you the forest teach
398	the rain in the path they follow
399	we the Force seek
400	the darkness I follow
401	I the Force seek
402	in they sleep the Jedi do
403	fight the Force do
404	in the path in the path in the Force in the night sleep the light do
405	fight the forest do
406	sleep the Jedi do
407	you the night seek
408	the Jedi in the darkness I teach
409	fight the rain do
410	through the forest fight the light do
411	sleep the darkness do
412	sleep you do
413	the Jedi the rain teach
414	we the rain teach
415	I the rain teach
416	you the Jedi teach
417	sleep the darkness do
418	the rain through the forest they in they seek
419	the night the path teach
420	sleep the forest in the darkness do
421	fight the darkness do
422	the rain the Force follow
423	through the darkness fight the darkness do
424	fight you do
425	in I sleep the path do
426	the Force the rain seek
427	fight we do
428	fight the night do
429	the Force in the Jedi I follow
430	fight the light do
431	fight the Force do
432	the path the Force in the Jedi follow
433	the Force through the Jedi the forest seek
434	the path the Jedi follow
435	the path the rain seek
436	the Jedi the Force seek
437	sleep the light do
438	we the forest follow
439	the night the rain teach
440	the Jedi the Force seek
441	in the Jedi in the forest sleep the path do
442	the light the Jedi follow
443	fight I in the night in the darkness do
444	the rain the path seek
445	the rain the darkness teach
446	you the Jedi follow
447	the path the Force follow
448	the Jedi the rain in the rain seek
449	sleep the Force do
450	the Jedi the Force seek
451	sleep the path do
452	they I in I teach
453	the light we seek
454	through the darkness sleep the path do
455	the darkness you follow
456	sleep the night do
457	sleep the forest do
458	sleep the path do
