sentid	sentence
0	the Jedi sleep
1	the light fight
2	the Force fight in you
3	the Force sleep
4	the darkness seek the darkness
5	the Force seek the Jedi in the light
6	the rain fight through the Force in the Jedi
7	the light fight in you
8	the Jedi fight
9	the rain seek we in the Force
10	the Force fight
11	the Jedi fight
12	the Force fight
13	the night sleep
14	they fight
15	the light in we seek the Force
16	I fight through the forest in the Force in the darkness in I in the Force in the forest
17	the forest teach the light
18	the Jedi seek the night
19	the night fight
20	the darkness seek the Force
21	the darkness in the night teach the rain
22	the light fight
23	the darkness sleep through we
24	the light fight
25	the Force teach the night
26	you fight
27	the light fight
28	the rain seek the Force
29	the night fight through the Force
30	the Force through the darkness seek you
31	I teach the darkness
32	the Force seek the light
33	the Force seek they
34	the Jedi teach the Jedi
35	the Jedi teach the light
36	the rain sleep
37	you teach we
38	the Force fight
39	the rain seek the rain in the Jedi
40	I fight
41	the Force sleep
42	the rain teach the path
43	we fight
44	the forest sleep
45	the night seek the Force in the Jedi
46	you in I fight
47	the Force sleep
48	the Force sleep
49	we follow the rain through you
50	I in the Force fight
51	we seek the Force
52	they teach the Force
53	the light fight
54	we fight in the Force
55	we fight
56	they follow the darkness
57	the Jedi teach the night
58	the path follow the forest in the rain
59	you fight
60	the forest in the darkness in the Jedi teach the Jedi
61	the light follow the forest through the Jedi
62	the forest sleep
63	I fight
64	the Force follow the Force
65	I sleep
66	the Force follow you
67	I fight
68	they teach the darkness through the Force in we
69	the darkness seek the darkness
70	I seek the Jedi
71	the forest seek the Force
72	you fight
73	I seek you in the Force
74	the Force sleep
75	the Force in the Force teach the Jedi
76	we fight
77	I follow the night in the Jedi
78	the Force follow the forest
79	I follow the light through the night through the light
80	the Force teach the night
81	the rain seek the path through the path
82	the darkness seek the Force
83	you follow the forest in the Jedi through the Jedi
84	the Force follow the rain in the light in the darkness
85	the path sleep
86	the night seek the rain
87	the rain fight
88	the night sleep
89	the Force follow the Force
90	the forest seek the path
91	the forest fight
92	you fight
93	the darkness in the Force fight
94	they sleep
95	the forest sleep
96	they in the forest teach I
97	the night fight
98	the Force fight through the rain
99	the light sleep in the Force
100	the rain fight
101	the Force fight
102	they seek the Jedi in the Force
103	the forest fight
104	the light sleep
105	the rain sleep
106	the Jedi sleep through the night
107	the darkness teach the light
108	the night fight
109	the light fight
110	the Force seek the forest in the rain
111	the darkness teach the rain
112	the darkness seek we
113	the Jedi seek the path in the forest in the forest in the forest
114	the night follow the Jedi
115	the Jedi fight
116	the Jedi fight
117	the Jedi fight
118	the Jedi sleep in the night
119	I fight
120	the Jedi in the Jedi sleep in the rain through they
121	the Jedi sleep
122	the rain follow the darkness in the Jedi
123	the path teach the path
124	the forest sleep
125	the Jedi teach the rain in the night
126	the light sleep
127	the rain seek the rain
128	they fight
129	the darkness teach the rain in the Force
130	they sleep
131	the Jedi teach the Force
132	I fight
133	the Force seek the rain
134	you sleep
135	the darkness seek the Jedi in the rain through the Force
136	the path seek the rain
137	we seek they
138	we seek I
139	I fight
140	you seek they in the darkness in you in the Jedi
141	the darkness sleep
142	the Force fight
143	the Force sleep
144	the Jedi through the light teach the darkness in the Jedi
145	the path sleep through I in they
146	we fight
147	we sleep
148	the darkness seek the Jedi in the Force through the forest in we
149	we teach I
150	the night sleep
151	the Jedi fight
152	you seek the Jedi in we
153	the Jedi sleep through the night
154	the Force sleep
155	the path fight
156	the Force teach the Jedi
157	the path fight in the night
158	the darkness sleep in the forest in the Force
159	the light fight
160	the night seek the path in the Force
161	the Force fight in the darkness through the forest
162	you follow the rain
163	the Force sleep
164	we sleep in the forest
165	the Jedi sleep
166	the path seek the path
167	the rain teach the rain in the night
168	the Jedi teach I
169	I fight
170	the darkness fight
171	we follow the darkness through you
172	they follow the path
173	the Jedi sleep
174	the Force teach I
175	the forest fight
176	the night in the night sleep
177	the night follow the rain
178	you sleep
179	they seek the Force in the forest through the Jedi through the night
180	the rain follow the Force
181	the light follow the Jedi
182	the forest seek the light
183	the Force sleep in the path through the Jedi
184	the Jedi in the Force seek the light
185	the Force seek the light in we
186	the Jedi seek the Jedi in the rain
187	the Jedi seek the Jedi
188	the Force seek the Jedi
189	the forest follow the Force
190	the rain sleep
191	the darkness seek the Jedi
192	the light follow the Jedi
193	the light seek the Jedi
194	the darkness fight in they
195	the rain teach the Force
196	the rain seek the Jedi
197	the Jedi teach the light
198	they seek the darkness
199	the Force fight
200	the Jedi fight
201	the forest seek the night
202	the rain fight
203	I sleep
204	they through I sleep
205	the rain follow the Force in the Force
206	the Force seek we
207	the Jedi teach you
208	the Force fight
209	we follow the Jedi
210	the Jedi fight in the Jedi
211	the Force sleep
212	the night fight
213	the night fight
214	the darkness sleep
215	the forest follow the Jedi in the darkness
216	they sleep in the Force in they
217	the Force seek the night through the Force
218	the light teach you
219	we fight
220	the light sleep
221	the night fight
222	the Force seek the Force
223	the Jedi teach you
224	the Jedi in we seek the Jedi in the Jedi
225	the Jedi fight
226	the Force fight
227	I seek the Jedi in you
